raw_description,project_type,city,area_m2,floors,finishing_level,confidence,source
Hospital Dammam على أرض مساحتها 7771 م²، مساحة البناء 2344 م²، 4 أدوار.,Hospital,Dammam,2326,4,Standard,90,synthetic
Development of a DataCenter in Khamis Mushait with a total area of 4309 square meters across 24 floors.,DataCenter,Khamis Mushait,4430,24,Premium,68,synthetic
مشروع Office_Building في Khamis Mushait بمساحة 4951 م² وعدد 3 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Khamis Mushait,5052,3,Luxury,93,synthetic
إنشاء Road في مدينة Taif بمساحة إجمالية 6542 متر مربع مكون من 28 طوابق.,Road,Taif,6621,28,Good,69,synthetic
School Hail على أرض مساحتها 20747 م²، مساحة البناء 12688 م²، 13 أدوار.,School,Hail,13301,14,Luxury,84,synthetic
Development of a Hospital in Abha with a total area of 4852 square meters across 10 floors.,Hospital,Abha,4686,10,Luxury,64,synthetic
Development of a Residential_Compound in Madinah with a total area of 16734 square meters across 18 floors.,Residential_Compound,Madinah,15797,17,UltraLuxury,69,synthetic
"Project: Residential_Tower in Tabuk, built-up area 9819 sqm, 16 floors. Quality finishing required.",Residential_Tower,Tabuk,10051,17,Good,76,synthetic
مشروع Apartment_Building في Tabuk بمساحة 15189 م² وعدد 5 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Apartment_Building,Tabuk,15637,5,Raw,97,synthetic
"Project: DataCenter in Buraydah, built-up area 18328 sqm, 5 floors. Quality finishing required.",DataCenter,Buraydah,19197,5,Raw,81,synthetic
Road Abha على أرض مساحتها 48414 م²، مساحة البناء 19550 م²، 1 أدوار.,Road,Abha,20466,1,Raw,69,synthetic
Hotel Tabuk على أرض مساحتها 12655 م²، مساحة البناء 4962 م²، 26 أدوار.,Hotel,Tabuk,5090,27,Good,64,synthetic
Bridge Abha على أرض مساحتها 29759 م²، مساحة البناء 17922 م²، 20 أدوار.,Bridge,Abha,18492,20,Standard,71,synthetic
إنشاء Warehouse في مدينة Khamis Mushait بمساحة إجمالية 12860 متر مربع مكون من 15 طوابق.,Warehouse,Khamis Mushait,12700,14,Premium,69,synthetic
مشروع University في Buraydah بمساحة 8723 م² وعدد 27 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Buraydah,8786,28,Raw,68,synthetic
Parking Madinah على أرض مساحتها 25793 م²، مساحة البناء 9755 م²، 30 أدوار.,Parking,Madinah,9370,28,Standard,60,synthetic
Office_Building Taif على أرض مساحتها 9677 م²، مساحة البناء 2955 م²، 7 أدوار.,Office_Building,Taif,3047,7,Standard,88,synthetic
إنشاء CommercialComplex في مدينة Najran بمساحة إجمالية 18320 متر مربع مكون من 30 طوابق.,CommercialComplex,Najran,18892,31,Luxury,88,synthetic
إنشاء Factory في مدينة Taif بمساحة إجمالية 1562 متر مربع مكون من 23 طوابق.,Factory,Taif,1560,25,Premium,79,synthetic
Mall Khobar على أرض مساحتها 8759 م²، مساحة البناء 4087 م²، 11 أدوار.,Mall,Khobar,4010,11,Standard,84,synthetic
"Project: Parking in Madinah, built-up area 18434 sqm, 7 floors. Quality finishing required.",Parking,Madinah,17366,7,Premium,81,synthetic
إنشاء Residential_Tower في مدينة Khobar بمساحة إجمالية 16221 متر مربع مكون من 4 طوابق.,Residential_Tower,Khobar,16826,4,Standard,63,synthetic
"Project: Factory in Taif, built-up area 2579 sqm, 15 floors. Quality finishing required.",Factory,Taif,2583,15,UltraLuxury,89,synthetic
University Tabuk على أرض مساحتها 15386 م²، مساحة البناء 5759 م²، 4 أدوار.,University,Tabuk,6212,4,Raw,63,synthetic
إنشاء Parking في مدينة Tabuk بمساحة إجمالية 16566 متر مربع مكون من 12 طوابق.,Parking,Tabuk,16880,12,Luxury,80,synthetic
Development of a DataCenter in Khamis Mushait with a total area of 2103 square meters across 28 floors.,DataCenter,Khamis Mushait,2083,29,Raw,78,synthetic
إنشاء Bridge في مدينة Hail بمساحة إجمالية 12656 متر مربع مكون من 13 طوابق.,Bridge,Hail,12002,12,Premium,78,synthetic
إنشاء Residential_Compound في مدينة Najran بمساحة إجمالية 19689 متر مربع مكون من 14 طوابق.,Residential_Compound,Najran,18571,14,Standard,91,synthetic
إنشاء DataCenter في مدينة Hail بمساحة إجمالية 6603 متر مربع مكون من 14 طوابق.,DataCenter,Hail,6912,14,Premium,80,synthetic
إنشاء Hospital في مدينة Makkah بمساحة إجمالية 11583 متر مربع مكون من 1 طوابق.,Hospital,Makkah,11663,1,Raw,88,synthetic
Hospital Buraydah على أرض مساحتها 7146 م²، مساحة البناء 3599 م²، 8 أدوار.,Hospital,Buraydah,3731,8,Standard,95,synthetic
إنشاء Hotel في مدينة Najran بمساحة إجمالية 18218 متر مربع مكون من 11 طوابق.,Hotel,Najran,17507,11,UltraLuxury,77,synthetic
"Project: Government_Building in Jeddah, built-up area 13934 sqm, 24 floors. Quality finishing required.",Government_Building,Jeddah,14139,23,Luxury,63,synthetic
Development of a Factory in Dammam with a total area of 4427 square meters across 22 floors.,Factory,Dammam,4442,22,UltraLuxury,67,synthetic
إنشاء CommercialComplex في مدينة Jeddah بمساحة إجمالية 3085 متر مربع مكون من 26 طوابق.,CommercialComplex,Jeddah,3000,26,UltraLuxury,83,synthetic
Development of a Villa in Khamis Mushait with a total area of 16558 square meters across 25 floors.,Villa,Khamis Mushait,16407,24,UltraLuxury,65,synthetic
مشروع Residential_Tower في Madinah بمساحة 4701 م² وعدد 25 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Madinah,4652,25,Standard,97,synthetic
مشروع Mosque في Najran بمساحة 12222 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mosque,Najran,11753,17,Standard,74,synthetic
Warehouse Khamis Mushait على أرض مساحتها 2202 م²، مساحة البناء 1173 م²، 29 أدوار.,Warehouse,Khamis Mushait,1119,29,Standard,79,synthetic
مشروع Parking في Khobar بمساحة 18897 م² وعدد 13 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Khobar,17813,13,Raw,74,synthetic
"Project: Warehouse in Khamis Mushait, built-up area 12816 sqm, 1 floors. Quality finishing required.",Warehouse,Khamis Mushait,12344,1,Raw,88,synthetic
مشروع Road في Riyadh بمساحة 9901 م² وعدد 28 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Riyadh,10462,26,UltraLuxury,86,synthetic
إنشاء Residential_Compound في مدينة Madinah بمساحة إجمالية 11553 متر مربع مكون من 17 طوابق.,Residential_Compound,Madinah,11001,18,Standard,85,synthetic
Residential_Tower Khobar على أرض مساحتها 11555 م²، مساحة البناء 7676 م²، 17 أدوار.,Residential_Tower,Khobar,7564,17,Raw,62,synthetic
إنشاء Villa في مدينة Makkah بمساحة إجمالية 19439 متر مربع مكون من 14 طوابق.,Villa,Makkah,18988,13,Luxury,64,synthetic
"Project: Road in Hail, built-up area 9932 sqm, 30 floors. Quality finishing required.",Road,Hail,10066,30,Luxury,90,synthetic
إنشاء CommercialComplex في مدينة Taif بمساحة إجمالية 8566 متر مربع مكون من 1 طوابق.,CommercialComplex,Taif,8514,1,Premium,72,synthetic
مشروع DataCenter في Najran بمساحة 17757 م² وعدد 16 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Najran,19045,16,Good,90,synthetic
Development of a Townhouse_Project in Madinah with a total area of 14365 square meters across 11 floors.,Townhouse_Project,Madinah,14453,11,Standard,96,synthetic
Road Khamis Mushait على أرض مساحتها 17240 م²، مساحة البناء 11673 م²، 29 أدوار.,Road,Khamis Mushait,11338,29,Premium,76,synthetic
Mall Taif على أرض مساحتها 15521 م²، مساحة البناء 8987 م²، 3 أدوار.,Mall,Taif,8867,3,Luxury,77,synthetic
"Project: Townhouse_Project in Khobar, built-up area 472 sqm, 3 floors. Quality finishing required.",Townhouse_Project,Khobar,488,3,Standard,61,synthetic
Hospital Taif على أرض مساحتها 34475 م²، مساحة البناء 11834 م²، 26 أدوار.,Hospital,Taif,11388,25,Standard,78,synthetic
إنشاء Residential_Tower في مدينة Buraydah بمساحة إجمالية 6100 متر مربع مكون من 15 طوابق.,Residential_Tower,Buraydah,5960,15,UltraLuxury,93,synthetic
Apartment_Building Hail على أرض مساحتها 26012 م²، مساحة البناء 13195 م²، 6 أدوار.,Apartment_Building,Hail,12790,6,Raw,81,synthetic
مشروع Government_Building في Tabuk بمساحة 14330 م² وعدد 25 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Government_Building,Tabuk,14751,26,Raw,67,synthetic
إنشاء University في مدينة Riyadh بمساحة إجمالية 14935 متر مربع مكون من 8 طوابق.,University,Riyadh,15361,8,Premium,90,synthetic
إنشاء Road في مدينة Riyadh بمساحة إجمالية 13220 متر مربع مكون من 17 طوابق.,Road,Riyadh,13403,18,Good,64,synthetic
"Project: Road in Dammam, built-up area 10748 sqm, 24 floors. Quality finishing required.",Road,Dammam,11146,24,UltraLuxury,80,synthetic
"Project: DataCenter in Hail, built-up area 14842 sqm, 6 floors. Quality finishing required.",DataCenter,Hail,13672,6,Raw,65,synthetic
Road Jeddah على أرض مساحتها 22823 م²، مساحة البناء 11794 م²، 8 أدوار.,Road,Jeddah,12109,8,UltraLuxury,79,synthetic
Development of a Residential_Compound in Khamis Mushait with a total area of 16092 square meters across 8 floors.,Residential_Compound,Khamis Mushait,15557,8,Premium,61,synthetic
Factory Madinah على أرض مساحتها 31294 م²، مساحة البناء 16096 م²، 5 أدوار.,Factory,Madinah,15648,5,Raw,88,synthetic
إنشاء Government_Building في مدينة Madinah بمساحة إجمالية 16429 متر مربع مكون من 30 طوابق.,Government_Building,Madinah,16971,29,Good,82,synthetic
Development of a Hotel in Madinah with a total area of 6420 square meters across 1 floors.,Hotel,Madinah,6438,1,Premium,83,synthetic
Development of a Office_Building in Taif with a total area of 16834 square meters across 6 floors.,Office_Building,Taif,16964,6,Luxury,76,synthetic
Warehouse Hail على أرض مساحتها 30768 م²، مساحة البناء 12691 م²، 26 أدوار.,Warehouse,Hail,13510,26,Good,60,synthetic
إنشاء Warehouse في مدينة Madinah بمساحة إجمالية 13907 متر مربع مكون من 2 طوابق.,Warehouse,Madinah,13247,2,Luxury,97,synthetic
Luxury_Villa Najran على أرض مساحتها 26189 م²، مساحة البناء 9071 م²، 1 أدوار.,Luxury_Villa,Najran,9157,1,Good,90,synthetic
إنشاء Road في مدينة Najran بمساحة إجمالية 4579 متر مربع مكون من 13 طوابق.,Road,Najran,4603,13,UltraLuxury,82,synthetic
"Project: Apartment_Building in Najran, built-up area 10945 sqm, 26 floors. Quality finishing required.",Apartment_Building,Najran,10072,27,Standard,75,synthetic
School Jeddah على أرض مساحتها 19383 م²، مساحة البناء 9988 م²، 5 أدوار.,School,Jeddah,9495,5,Premium,90,synthetic
Development of a Residential_Tower in Dammam with a total area of 19846 square meters across 6 floors.,Residential_Tower,Dammam,19014,6,Luxury,63,synthetic
إنشاء DataCenter في مدينة Tabuk بمساحة إجمالية 14511 متر مربع مكون من 1 طوابق.,DataCenter,Tabuk,14741,1,Standard,69,synthetic
إنشاء Residential_Compound في مدينة Tabuk بمساحة إجمالية 9295 متر مربع مكون من 10 طوابق.,Residential_Compound,Tabuk,9226,11,Premium,66,synthetic
مشروع Bridge في Khamis Mushait بمساحة 5919 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Khamis Mushait,5820,1,Standard,89,synthetic
مشروع Hotel في Riyadh بمساحة 15769 م² وعدد 30 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Riyadh,16422,30,Luxury,65,synthetic
"Project: Hospital in Abha, built-up area 4917 sqm, 3 floors. Quality finishing required.",Hospital,Abha,4901,3,Raw,69,synthetic
إنشاء Bridge في مدينة Taif بمساحة إجمالية 18634 متر مربع مكون من 5 طوابق.,Bridge,Taif,18559,5,Luxury,96,synthetic
"Project: Apartment_Building in Najran, built-up area 2181 sqm, 4 floors. Quality finishing required.",Apartment_Building,Najran,2089,4,Good,75,synthetic
Development of a Bridge in Makkah with a total area of 12089 square meters across 5 floors.,Bridge,Makkah,11991,5,Luxury,90,synthetic
Development of a Luxury_Villa in Makkah with a total area of 14020 square meters across 3 floors.,Luxury_Villa,Makkah,14216,3,Premium,77,synthetic
Apartment_Building Taif على أرض مساحتها 21100 م²، مساحة البناء 14190 م²، 17 أدوار.,Apartment_Building,Taif,13496,17,Good,94,synthetic
Residential_Compound Buraydah على أرض مساحتها 2654 م²، مساحة البناء 1770 م²، 26 أدوار.,Residential_Compound,Buraydah,1709,26,Luxury,60,synthetic
"Project: Hotel in Madinah, built-up area 9341 sqm, 10 floors. Quality finishing required.",Hotel,Madinah,9243,10,UltraLuxury,83,synthetic
مشروع Office_Building في Riyadh بمساحة 7968 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Riyadh,7894,1,Standard,70,synthetic
"Project: Office_Building in Makkah, built-up area 8826 sqm, 16 floors. Quality finishing required.",Office_Building,Makkah,8913,16,Good,70,synthetic
"Project: Villa in Hail, built-up area 4793 sqm, 21 floors. Quality finishing required.",Villa,Hail,4978,20,UltraLuxury,93,synthetic
مشروع Parking في Khobar بمساحة 1574 م² وعدد 16 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Khobar,1519,16,Good,75,synthetic
مشروع Bridge في Khobar بمساحة 10578 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Khobar,10208,17,Premium,63,synthetic
إنشاء CommercialComplex في مدينة Makkah بمساحة إجمالية 11998 متر مربع مكون من 2 طوابق.,CommercialComplex,Makkah,12143,2,Raw,94,synthetic
"Project: Parking in Buraydah, built-up area 2743 sqm, 16 floors. Quality finishing required.",Parking,Buraydah,2712,16,UltraLuxury,83,synthetic
"Project: University in Najran, built-up area 4266 sqm, 9 floors. Quality finishing required.",University,Najran,4289,9,Premium,68,synthetic
Development of a Parking in Taif with a total area of 19244 square meters across 2 floors.,Parking,Taif,20145,2,UltraLuxury,79,synthetic
إنشاء Villa في مدينة Jeddah بمساحة إجمالية 19706 متر مربع مكون من 1 طوابق.,Villa,Jeddah,19938,1,Good,80,synthetic
Development of a Bridge in Riyadh with a total area of 4478 square meters across 4 floors.,Bridge,Riyadh,4536,4,Luxury,85,synthetic
مشروع Residential_Tower في Taif بمساحة 5367 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Taif,5128,30,Standard,91,synthetic
Development of a CommercialComplex in Buraydah with a total area of 7388 square meters across 1 floors.,CommercialComplex,Buraydah,7217,1,Standard,60,synthetic
إنشاء Luxury_Villa في مدينة Tabuk بمساحة إجمالية 4721 متر مربع مكون من 18 طوابق.,Luxury_Villa,Tabuk,4885,18,Luxury,87,synthetic
"Project: Mosque in Buraydah, built-up area 15168 sqm, 13 floors. Quality finishing required.",Mosque,Buraydah,15242,13,Standard,83,synthetic
Development of a Apartment_Building in Madinah with a total area of 17899 square meters across 18 floors.,Apartment_Building,Madinah,18325,18,Raw,68,synthetic
إنشاء Government_Building في مدينة Tabuk بمساحة إجمالية 18384 متر مربع مكون من 2 طوابق.,Government_Building,Tabuk,17842,2,Luxury,82,synthetic
Development of a School in Makkah with a total area of 19870 square meters across 17 floors.,School,Makkah,20791,17,Luxury,76,synthetic
Luxury_Villa Khobar على أرض مساحتها 5113 م²، مساحة البناء 2553 م²، 2 أدوار.,Luxury_Villa,Khobar,2617,2,Premium,74,synthetic
Development of a Hotel in Buraydah with a total area of 12552 square meters across 23 floors.,Hotel,Buraydah,12111,22,Luxury,92,synthetic
Development of a Hotel in Madinah with a total area of 5743 square meters across 11 floors.,Hotel,Madinah,5753,11,Luxury,81,synthetic
Parking Najran على أرض مساحتها 4159 م²، مساحة البناء 2857 م²، 23 أدوار.,Parking,Najran,2848,23,Premium,86,synthetic
مشروع CommercialComplex في Madinah بمساحة 11673 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,CommercialComplex,Madinah,11272,2,UltraLuxury,81,synthetic
University Buraydah على أرض مساحتها 7142 م²، مساحة البناء 3101 م²، 11 أدوار.,University,Buraydah,3039,11,Premium,90,synthetic
Development of a Residential_Tower in Tabuk with a total area of 2134 square meters across 15 floors.,Residential_Tower,Tabuk,1975,15,Premium,68,synthetic
Townhouse_Project Dammam على أرض مساحتها 1709 م²، مساحة البناء 976 م²، 17 أدوار.,Townhouse_Project,Dammam,1025,17,Premium,96,synthetic
مشروع Factory في Madinah بمساحة 14435 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Madinah,15326,23,Raw,70,synthetic
إنشاء Mosque في مدينة Najran بمساحة إجمالية 15415 متر مربع مكون من 27 طوابق.,Mosque,Najran,14873,27,Good,96,synthetic
مشروع School في Buraydah بمساحة 9102 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Buraydah,9329,24,Premium,61,synthetic
Villa Buraydah على أرض مساحتها 19470 م²، مساحة البناء 12885 م²، 12 أدوار.,Villa,Buraydah,12806,12,Standard,91,synthetic
CommercialComplex Makkah على أرض مساحتها 5994 م²، مساحة البناء 3637 م²، 5 أدوار.,CommercialComplex,Makkah,3309,5,Luxury,65,synthetic
Development of a Office_Building in Jeddah with a total area of 14611 square meters across 28 floors.,Office_Building,Jeddah,14017,28,Luxury,86,synthetic
مشروع Residential_Tower في Khamis Mushait بمساحة 18360 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Tower,Khamis Mushait,18907,2,Standard,62,synthetic
مشروع Luxury_Villa في Riyadh بمساحة 3629 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Riyadh,3615,18,Good,97,synthetic
Development of a Hotel in Buraydah with a total area of 8243 square meters across 15 floors.,Hotel,Buraydah,7593,15,Luxury,60,synthetic
"Project: School in Hail, built-up area 5290 sqm, 12 floors. Quality finishing required.",School,Hail,5146,12,Good,63,synthetic
"Project: Government_Building in Buraydah, built-up area 2517 sqm, 3 floors. Quality finishing required.",Government_Building,Buraydah,2498,3,Luxury,77,synthetic
إنشاء School في مدينة Makkah بمساحة إجمالية 12829 متر مربع مكون من 29 طوابق.,School,Makkah,13025,29,Good,62,synthetic
"Project: Luxury_Villa in Tabuk, built-up area 3330 sqm, 25 floors. Quality finishing required.",Luxury_Villa,Tabuk,3424,26,Luxury,76,synthetic
مشروع School في Khobar بمساحة 4147 م² وعدد 19 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Khobar,4213,19,Premium,67,synthetic
Development of a Office_Building in Tabuk with a total area of 14231 square meters across 18 floors.,Office_Building,Tabuk,14565,18,Raw,74,synthetic
Road Taif على أرض مساحتها 17745 م²، مساحة البناء 9900 م²، 12 أدوار.,Road,Taif,10090,12,Luxury,91,synthetic
Development of a Residential_Tower in Dammam with a total area of 17891 square meters across 27 floors.,Residential_Tower,Dammam,18732,26,Raw,78,synthetic
Development of a Mall in Khobar with a total area of 19022 square meters across 25 floors.,Mall,Khobar,19581,24,UltraLuxury,83,synthetic
مشروع Road في Abha بمساحة 1056 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Abha,1061,18,Good,92,synthetic
Warehouse Hail على أرض مساحتها 18536 م²، مساحة البناء 11908 م²، 25 أدوار.,Warehouse,Hail,12051,25,Standard,87,synthetic
Development of a Government_Building in Taif with a total area of 19215 square meters across 28 floors.,Government_Building,Taif,19619,26,Premium,68,synthetic
إنشاء Townhouse_Project في مدينة Khobar بمساحة إجمالية 2402 متر مربع مكون من 30 طوابق.,Townhouse_Project,Khobar,2295,30,Standard,73,synthetic
إنشاء Bridge في مدينة Taif بمساحة إجمالية 17410 متر مربع مكون من 10 طوابق.,Bridge,Taif,17169,10,Raw,83,synthetic
مشروع Office_Building في Makkah بمساحة 1211 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Makkah,1206,2,Good,93,synthetic
مشروع Bridge في Buraydah بمساحة 3793 م² وعدد 10 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Buraydah,3853,10,Good,72,synthetic
إنشاء Government_Building في مدينة Tabuk بمساحة إجمالية 2259 متر مربع مكون من 11 طوابق.,Government_Building,Tabuk,2320,11,UltraLuxury,98,synthetic
إنشاء Luxury_Villa في مدينة Najran بمساحة إجمالية 5861 متر مربع مكون من 8 طوابق.,Luxury_Villa,Najran,6080,8,Standard,82,synthetic
"Project: Parking in Buraydah, built-up area 1920 sqm, 25 floors. Quality finishing required.",Parking,Buraydah,1922,25,Raw,62,synthetic
إنشاء Factory في مدينة Makkah بمساحة إجمالية 10113 متر مربع مكون من 2 طوابق.,Factory,Makkah,10495,2,Standard,84,synthetic
Hospital Dammam على أرض مساحتها 14116 م²، مساحة البناء 6840 م²، 29 أدوار.,Hospital,Dammam,6967,29,Standard,62,synthetic
مشروع CommercialComplex في Najran بمساحة 5835 م² وعدد 5 أدوار. يشمل المبنى تشطيبات عالية الجودة.,CommercialComplex,Najran,5592,5,Luxury,78,synthetic
"Project: Factory in Madinah, built-up area 13490 sqm, 7 floors. Quality finishing required.",Factory,Madinah,12960,7,Premium,75,synthetic
Development of a Office_Building in Hail with a total area of 7971 square meters across 20 floors.,Office_Building,Hail,7690,20,Good,86,synthetic
"Project: Mall in Taif, built-up area 13881 sqm, 28 floors. Quality finishing required.",Mall,Taif,13889,29,Premium,69,synthetic
Parking Buraydah على أرض مساحتها 25724 م²، مساحة البناء 14681 م²، 17 أدوار.,Parking,Buraydah,15021,17,UltraLuxury,66,synthetic
"Project: Apartment_Building in Abha, built-up area 18952 sqm, 23 floors. Quality finishing required.",Apartment_Building,Abha,19158,24,Good,60,synthetic
إنشاء School في مدينة Najran بمساحة إجمالية 11425 متر مربع مكون من 2 طوابق.,School,Najran,11612,2,Standard,75,synthetic
Road Riyadh على أرض مساحتها 40631 م²، مساحة البناء 18906 م²، 21 أدوار.,Road,Riyadh,19005,21,Standard,86,synthetic
Mall Riyadh على أرض مساحتها 7686 م²، مساحة البناء 4113 م²، 28 أدوار.,Mall,Riyadh,4100,28,Raw,95,synthetic
مشروع Road في Riyadh بمساحة 18429 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Road,Riyadh,19348,1,Luxury,89,synthetic
"Project: Townhouse_Project in Dammam, built-up area 18067 sqm, 28 floors. Quality finishing required.",Townhouse_Project,Dammam,19216,27,Luxury,76,synthetic
إنشاء CommercialComplex في مدينة Makkah بمساحة إجمالية 2129 متر مربع مكون من 14 طوابق.,CommercialComplex,Makkah,2110,14,Premium,78,synthetic
"Project: Residential_Compound in Jeddah, built-up area 13598 sqm, 13 floors. Quality finishing required.",Residential_Compound,Jeddah,13943,13,Good,81,synthetic
Development of a Mosque in Abha with a total area of 12300 square meters across 20 floors.,Mosque,Abha,11870,20,Raw,98,synthetic
مشروع DataCenter في Khobar بمساحة 8043 م² وعدد 13 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Khobar,8263,14,UltraLuxury,67,synthetic
مشروع University في Taif بمساحة 12596 م² وعدد 12 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Taif,12522,12,Raw,62,synthetic
إنشاء Residential_Tower في مدينة Dammam بمساحة إجمالية 7828 متر مربع مكون من 16 طوابق.,Residential_Tower,Dammam,7975,16,Raw,84,synthetic
"Project: Villa in Makkah, built-up area 17753 sqm, 5 floors. Quality finishing required.",Villa,Makkah,18340,5,Luxury,64,synthetic
إنشاء Road في مدينة Hail بمساحة إجمالية 5494 متر مربع مكون من 17 طوابق.,Road,Hail,5160,16,Luxury,88,synthetic
Warehouse Abha على أرض مساحتها 2805 م²، مساحة البناء 1746 م²، 20 أدوار.,Warehouse,Abha,1829,19,UltraLuxury,70,synthetic
مشروع Hospital في Najran بمساحة 19456 م² وعدد 14 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hospital,Najran,19293,15,Luxury,67,synthetic
Development of a Hospital in Buraydah with a total area of 17789 square meters across 28 floors.,Hospital,Buraydah,17143,26,UltraLuxury,63,synthetic
Warehouse Dammam على أرض مساحتها 18004 م²، مساحة البناء 8595 م²، 21 أدوار.,Warehouse,Dammam,8294,20,Raw,89,synthetic
Development of a DataCenter in Taif with a total area of 13481 square meters across 23 floors.,DataCenter,Taif,13274,24,Standard,87,synthetic
Residential_Tower Abha على أرض مساحتها 31928 م²، مساحة البناء 12361 م²، 21 أدوار.,Residential_Tower,Abha,11846,22,Raw,96,synthetic
مشروع University في Khamis Mushait بمساحة 13151 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Khamis Mushait,13589,1,UltraLuxury,91,synthetic
إنشاء Bridge في مدينة Buraydah بمساحة إجمالية 18885 متر مربع مكون من 22 طوابق.,Bridge,Buraydah,19277,22,Standard,85,synthetic
Development of a Luxury_Villa in Jeddah with a total area of 14347 square meters across 7 floors.,Luxury_Villa,Jeddah,14005,7,UltraLuxury,69,synthetic
Development of a Bridge in Madinah with a total area of 15985 square meters across 16 floors.,Bridge,Madinah,15211,15,Standard,97,synthetic
Development of a School in Riyadh with a total area of 13654 square meters across 8 floors.,School,Riyadh,13789,8,Premium,95,synthetic
إنشاء School في مدينة Najran بمساحة إجمالية 8834 متر مربع مكون من 18 طوابق.,School,Najran,8660,18,Standard,91,synthetic
إنشاء Factory في مدينة Dammam بمساحة إجمالية 17280 متر مربع مكون من 25 طوابق.,Factory,Dammam,17107,24,UltraLuxury,71,synthetic
Development of a Factory in Hail with a total area of 13056 square meters across 13 floors.,Factory,Hail,12723,13,Good,60,synthetic
مشروع Mall في Najran بمساحة 3876 م² وعدد 16 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mall,Najran,3704,16,Good,80,synthetic
Development of a Hospital in Dammam with a total area of 18875 square meters across 16 floors.,Hospital,Dammam,19749,16,Raw,65,synthetic
مشروع Villa في Dammam بمساحة 4924 م² وعدد 8 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Villa,Dammam,4970,8,Luxury,61,synthetic
"Project: Factory in Hail, built-up area 522 sqm, 20 floors. Quality finishing required.",Factory,Hail,508,19,Good,74,synthetic
"Project: Villa in Tabuk, built-up area 17999 sqm, 3 floors. Quality finishing required.",Villa,Tabuk,17132,3,Good,70,synthetic
مشروع Bridge في Khobar بمساحة 15382 م² وعدد 19 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Khobar,15220,19,Luxury,91,synthetic
Development of a Parking in Buraydah with a total area of 19980 square meters across 3 floors.,Parking,Buraydah,20773,3,Luxury,91,synthetic
Residential_Compound Khobar على أرض مساحتها 710 م²، مساحة البناء 351 م²، 10 أدوار.,Residential_Compound,Khobar,337,10,Standard,73,synthetic
إنشاء Factory في مدينة Khamis Mushait بمساحة إجمالية 11246 متر مربع مكون من 7 طوابق.,Factory,Khamis Mushait,11459,7,UltraLuxury,67,synthetic
Development of a Office_Building in Dammam with a total area of 14813 square meters across 24 floors.,Office_Building,Dammam,14682,24,Premium,64,synthetic
"Project: Hospital in Dammam, built-up area 15013 sqm, 7 floors. Quality finishing required.",Hospital,Dammam,16048,7,Premium,63,synthetic
إنشاء CommercialComplex في مدينة Riyadh بمساحة إجمالية 13922 متر مربع مكون من 23 طوابق.,CommercialComplex,Riyadh,13179,24,Premium,98,synthetic
Townhouse_Project Khamis Mushait على أرض مساحتها 15068 م²، مساحة البناء 5252 م²، 13 أدوار.,Townhouse_Project,Khamis Mushait,5371,13,UltraLuxury,69,synthetic
Hotel Khamis Mushait على أرض مساحتها 37265 م²، مساحة البناء 19089 م²، 26 أدوار.,Hotel,Khamis Mushait,19781,25,Raw,98,synthetic
